"","ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","predict","pred_profit"
"12",9672,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SE24","C",178,7,5.3,3.5,153,97,"Good","owner-occupied",51.448483,-0.10321,193,31,2,"herne hill","Thames Water",55900,"Lambeth","rail",0,1,0,0.7040462,1085000,1866248.34937527,0.720044561636192
"13",6805,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW17","C",55,3,2.5,2.1,262,217,"Average","rental (private)",51.429616,-0.152251,71,37,3,"tooting bec","Thames Water",69000,"Wandsworth","tube",1,0,0,0.7543796,296000,475042.625632824,0.604873735246027
"14",6525,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"BR7","C",168,8,5,3.2,171,107,"Average","owner-occupied",51.418261,0.045748,58,72,4,"elmstead woods","Thames Water",72000,"Bromley","rail",0,1,0,0.1391936,805000,979247.413116358,0.216456413809141
"15",105,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"DA14","E",69.98,4,5.5,4,471,339,"Average","owner-occupied",51.426373,0.136921,132,40,5,"bexley","Thames Water",43600,"Bexley","rail",0,1,0,1.6958006,346000,298021.913653323,-0.138664989441262
"16",1768,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N14","E",82,4,5.1,1.2,356,83,"Average","owner-occupied",51.638635,-0.131094,63,64,4,"southgate","Thames Water",47600,"Enfield","tube",1,0,0,0.509548,443000,395361.641242873,-0.10753579854882
"17",15464,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE4","D",55.47,2,3.2,3.1,342,334,"Average","owner-occupied",51.455827,-0.032718,79,28,3,"crofton park","Thames Water",58800,"Lewisham","rail",0,1,0,0.2038192,376000,342070.870655846,-0.0902370461280702
"18",4221,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE26","C",50,2,1.5,1,164,119,"Average","owner-occupied",51.426169,-0.043992,63,35,4,"lower sydenham","Thames Water",52600,"Lewisham","rail",0,1,0,0.71461,242000,277407.546189969,0.146312174338715
"19",1804,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"CR5","C",243,11,4.7,3.7,110,87,"Good","owner-occupied",51.307943,-0.150385,69,129,6,"coulsdon south","SES Water",63300,"Croydon","rail",0,1,0,0.8848736,785000,1329959.34415958,0.694215725044052
"20",7571,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E12","C",47,2,1.1,1.1,131,131,"Good","owner-occupied",51.553028,0.064136,NA,6,4,"ilford","Thames Water",41600,"Redbridge","rail",0,1,0,0.786071,217000,230912.577534849,0.064113260529256
"21",1444,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W1U","C",72,3,2.7,1.5,212,119,"Good","owner-occupied",51.519776,-0.154557,8,32,1,"baker street","Thames Water",73500,"Westminster","tube",6,0,0,0.4977414,877000,1037563.85860538,0.183083077087094
"22",2306,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N11","D",91,5,4.5,1.2,284,75,"Average","owner-occupied",51.614052,-0.125041,47,38,3,"bounds green","Thames Water",52200,"Barnet","tube",1,0,0,0.4741282,521000,513150.204243683,-0.0150667864804554
"23",10123,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE26","E",49,2,4.3,2.6,519,309,"Average","owner-occupied",51.424712,-0.041808,37,33,4,"lower sydenham","Thames Water",52600,"Lewisham","rail",0,1,0,0.758108,1e+05,252368.280733023,1.52368280733023
"24",5224,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE6","C",40.95,2,2.1,2,293,282,"Average","owner-occupied",51.441372,0.009397,45,33,3,"lee","Thames Water",48000,"Lewisham","rail",0,1,0,1.1210056,171000,269289.025871833,0.57478962498148
"25",4717,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW12","D",186,7,7.3,4.9,226,151,"Average","owner-occupied",51.446297,-0.15909,88,24,3,"wandsworth common","Thames Water",71800,"Wandsworth","rail",0,1,0,0.301379,1222000,1529869.53166573,0.251939060282918
"26",5977,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW7","C",69,3,2.1,1,177,81,"Very Poor","owner-occupied",51.496389,-0.174807,24,15,1,"south kensington","Thames Water",50600,"Kensington and Chelsea","tube",3,0,0,0.1572142,192000,650511.858478817,2.38808259624384
"27",325,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N13","D",115,6,3.8,1.4,191,69,"Average","owner-occupied",51.620189,-0.1001,89,33,4,"palmers green","Thames Water",48600,"Enfield","rail",0,1,0,0.6785688,437000,519096.793310327,0.187864515584273
"28",11005,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"DA16","D",63.88,3,3.1,3,298,290,"Average","owner-occupied",51.466431,0.093887,35,60,4,"welling","Thames Water",49400,"Bexley","rail",0,1,0,0.4728854,226000,324267.69369637,0.434812803966239
"29",30,NA,NA,"F","N","F",NA,NA,NA,NA,NA,NA,"TW13","F",74,3,6.9,2.6,482,177,"Very Poor","owner-occupied",51.435047,-0.400464,77,20,6,"feltham","Thames Water",52700,"Hounslow","rail",0,1,0,1.3677014,343000,304761.423411627,-0.111482730578346
"30",3672,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"WC2B","C",93,3,2.4,2.3,158,148,"Very Poor","owner-occupied",51.515179,-0.122143,26,35,1,"covent garden","Thames Water",59000,"Camden","tube",1,0,0,0.1839344,1005000,1130522.55739242,0.124898067057136
"31",3546,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"UB2","D",117.24,5,6.4,5.3,297,249,"Average","rental (social)",51.494683,-0.38792,67,35,4,"southall","Thames Water",49500,"Ealing","rail",0,1,0,1.0514088,460000,572013.085639251,0.243506707911416
"32",1293,NA,NA,"F","N","L",NA,NA,NA,"EALING",NA,NA,"W13","B",65,3,1,0.9,89,83,"Good","owner-occupied",51.512593,-0.316702,112,31,3,"west ealing","Thames Water",64800,"Ealing","rail",0,1,0,0.3150498,334000,463143.210298427,0.386656318258764
"33",11358,NA,NA,"S","N","F",NA,NA,NA,"CHEAM",NA,NA,"SM3","D",99,5,4.1,1.5,237,82,"Average","owner-occupied",51.360692,-0.21396,55,60,5,"cheam","SES Water",59000,"Sutton","rail",0,1,0,0.5909514,476000,540409.300848414,0.135313657244566
"34",10763,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E9","D",77,3,3.3,1,240,67,"Average","owner-occupied",51.548285,-0.026007,47,6,2,"hackney wick","Thames Water",46500,"Hackney","light_rail",0,0,1,0.5039554,461000,505316.002380739,0.0961301570081116
"35",186,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"TW1","D",122,5,4,1.6,219,93,"Good","owner-occupied",51.464349,-0.324869,94,9,4,"st margarets","Thames Water",79600,"Richmond upon Thames","rail",0,1,0,0.6785688,733000,906878.251894181,0.237214531915663
"36",14100,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"E11","F",132,7,9.1,3.4,392,144,"Poor","owner-occupied",51.58167,0.033737,95,16,4,"wanstead","Thames Water",67700,"Redbridge","tube",1,0,0,0.5897086,819000,800940.985801556,-0.0220500783863789
"37",11235,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"UB10","D",66,5,2.9,1.1,250,95,"Good","owner-occupied",51.543075,-0.448954,35,41,6,"hillingdon","Affinity Water",56000,"Hillingdon","tube",2,0,0,0.941421,359000,362377.219775351,0.00940729742437506
"38",2716,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW3","C",37,2,1.6,1,242,157,"Average","owner-occupied",51.493339,-0.164931,30,13,1,"sloane square","Thames Water",50600,"Kensington and Chelsea","tube",2,0,0,0.472264,499000,468822.764810409,-0.0604754212216262
"39",15713,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"HA0","D",65,3,3.1,1.8,271,160,"Average","rental (private)",51.551003,-0.303088,96,41,4,"wembley central","Affinity Water",47800,"Brent","tube",2,1,1,0.3343132,84000,347606.065988235,3.1381674522409
"40",10449,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW7","D",148,6,5.9,2.6,226,98,"Average","owner-occupied",51.477984,-0.350377,63,24,4,"osterley","Thames Water",61500,"Hounslow","tube",1,0,0,0.6127004,627000,798476.077126887,0.273486566390569
"41",4885,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW18","D",85,4,3.1,1.2,205,77,"Average","owner-occupied",51.440993,-0.188009,52,11,3,"earlsfield","Thames Water",63100,"Wandsworth","rail",0,1,0,0.1901484,495000,634976.533158741,0.282780875068164
"42",12502,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"HA0","D",50,3,2.8,1.4,321,161,"Good","owner-occupied",51.544373,-0.284509,96,37,3,"stonebridge park","Affinity Water",48900,"Brent","tube",2,0,1,0.6133218,231000,293615.170348531,0.271061343500135
"43",10494,NA,NA,"S","N","F",NA,NA,NA,"STREATHAM HILL",NA,NA,"SW2","D",171,7,7,4,232,130,"Poor","owner-occupied",51.440855,-0.117063,84,68,3,"streatham hill","Thames Water",55900,"Lambeth","rail",0,1,0,0.6095934,747000,966415.819037319,0.293729342754108
"44",7493,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"IG11","E",115,5,7.4,3.2,362,154,"Average","owner-occupied",51.534405,0.078936,17,6,4,"barking","Essex & Suffolk Water",44200,"Barking and Dagenham","tube",2,0,1,0.5070624,319000,472891.560290306,0.482418684295629
"45",9372,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE8","D",54,3,2.5,2.5,273,278,"Average","owner-occupied",51.491673,-0.031723,NA,8,2,"surrey quays","Thames Water",51800,"Lewisham","light_rail",0,0,1,0.9625486,336000,430706.4849154,0.281864538438692
"46",9334,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N1","D",70,4,2.3,1.3,184,108,"Good","rental (private)",51.531158,-0.080972,50,23,1,"hoxton","Thames Water",54300,"Islington","light_rail",0,0,1,0.329342,378000,765587.019781748,1.0253624861951
"47",14106,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W5","D",83,4,3.2,1.8,203,114,"Poor","rental (private)",51.512455,-0.308968,121,36,3,"ealing broadway","Thames Water",72200,"Ealing","tube",2,1,0,0.537511,533000,671470.744031439,0.259795016944538
"48",11659,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E3","D",68.12,4,4,3.9,347,343,"Good","owner-occupied",51.534341,-0.029407,6,14,2,"bow road","Thames Water",46200,"Tower Hamlets","tube",2,0,0,0.8289476,370000,492499.145399238,0.331078771349292
"49",6298,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE13","D",57.64,3,3.1,2.5,320,257,"Good","owner-occupied",51.454539,-0.0054,115,25,3,"hither green","Thames Water",50700,"Lewisham","rail",0,1,0,0.3063502,328000,348650.237629997,0.0629580415548686
"50",5103,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"KT3","D",84,5,3.6,1.2,246,76,"Average","owner-occupied",51.398197,-0.244174,137,16,4,"motspur park","Thames Water",67300,"Kingston upon Thames","rail",0,1,0,0.2964078,420000,505011.222428092,0.202407672447838
"51",10594,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW17","C",67.62,4,2.6,2,235,175,"Average","owner-occupied",51.427148,-0.172058,95,20,3,"tooting broadway","Thames Water",51300,"Wandsworth","tube",1,0,0,0.251667,357000,444661.6014934,0.245550704463306
"52",2399,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"HA4","D",47.1,3,2.5,1.8,319,233,"Average","rental (private)",51.57505,-0.397387,66,50,5,"eastcote","Affinity Water",64600,"Hillingdon","tube",2,0,0,0.2442102,244000,308855.01866939,0.265799256841762
"53",3700,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE6","D",88,4,4.1,0.7,264,42,"Very Poor","owner-occupied",51.437401,-0.031654,68,26,3,"bellingham","Thames Water",45100,"Lewisham","rail",0,1,0,0.739466,336000,443200.691470603,0.319049676995842
"54",8095,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"UB2","E",78.8,5,4.9,3.9,374,294,"Average","rental (private)",51.499254,-0.396676,85,32,4,"southall","Affinity Water",45400,"Ealing","rail",0,1,0,1.1564254,309000,362919.271807546,0.174496025267139
"55",3759,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W5","D",69,3,3.2,2.9,262,241,"Good","owner-occupied",51.513313,-0.289934,119,33,3,"ealing common","Thames Water",58600,"Ealing","tube",2,0,0,0.2367534,346000,444934.349719183,0.285937426934054
"56",5251,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W13","C",54,3,1.8,1.5,192,162,"Average","owner-occupied",51.502806,-0.323373,19,27,3,"northfields","Thames Water",63600,"Ealing","tube",1,0,0,0.5524246,336000,373446.715479178,0.111448557973743
"57",9884,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW6","C",67,3,2.2,1.7,188,144,"Poor","owner-occupied",51.484331,-0.207521,32,6,2,"west kensington","Thames Water",57600,"Hammersmith and Fulham","tube",1,0,0,0.680433,547000,549673.806341129,0.00488812859438554
"58",12114,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"KT3","E",119,6,6.4,3,305,142,"Average","owner-occupied",51.390781,-0.249153,77,22,4,"motspur park","Thames Water",65000,"Kingston upon Thames","rail",0,1,0,0.6580626,505000,662590.959140162,0.312061305228044
"59",13448,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N4","D",90,5,3.2,1.1,202,68,"Average","owner-occupied",51.56825,-0.11974,117,40,3,"crouch hill","Thames Water",52100,"Hackney","light_rail",0,0,1,0.4604574,745000,559791.919093363,-0.248601450881393
"60",7215,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N7","B",51,2,0.5,0.4,61,50,"Good","rental (private)",51.545428,-0.110269,40,43,2,"caledonian road and barnsbury","Thames Water",67200,"Islington","light_rail",0,0,1,0.3784326,421000,424216.373173724,0.00763984126775197
"61",8422,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"IG11","D",138,6,5.5,2.2,225,90,"Average","owner-occupied",51.540906,0.104644,130,4,4,"upney","Essex & Suffolk Water",46700,"Barking and Dagenham","tube",1,0,0,0.2274324,4e+05,635235.123791619,0.588087809479048
"62",357,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE3","C",46.72,2,2.4,2.3,291,283,"Very Poor","owner-occupied",51.466805,-0.002257,85,26,2,"lewisham","Thames Water",59500,"Greenwich","light_rail",0,1,1,1.1384048,290000,351613.241766517,0.212459454367299
"63",2868,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"NW8","F",291,8,22,8.7,422,170,"Poor","owner-occupied",51.539463,-0.171339,11,50,2,"st. johns wood","Thames Water",60900,"Westminster","tube",1,0,0,0.438087,5008000,3195019.24326776,-0.36201692426762
"64",8500,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE2","C",52,2,1.8,1.4,197,148,"Average","owner-occupied",51.491354,0.111724,97,1,4,"abbey wood","Thames Water",41900,"Greenwich","rail",0,1,0,0.4772352,191000,232825.218441976,0.218980201266891
"65",607,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"RM12","E",63,4,3.8,0.9,318,75,"Good","rental (private)",51.561882,0.186018,87,9,6,"elm park","Essex & Suffolk Water",49900,"Havering","tube",1,0,0,1.3807508,289000,324715.779714838,0.123584012854111
"66",302,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"HA5","E",122,6,6.1,2.5,283,114,"Average","owner-occupied",51.597438,-0.364591,88,60,5,"headstone lane","Affinity Water",65000,"Harrow","light_rail",0,0,1,0.8364044,526000,658844.875735787,0.252556797976781
"67",2619,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"IG11","C",63,3,1.5,1.5,133,133,"Average","owner-occupied",51.534002,0.075733,151,4,4,"barking","Essex & Suffolk Water",44200,"Barking and Dagenham","tube",2,0,1,0.571688,153000,261014.833681087,0.705979305105146
"68",15700,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"KT4","D",36,3,2.4,2.1,312,276,"Poor","owner-occupied",51.380596,-0.239741,90,25,4,"worcester park","SES Water",61700,"Sutton","rail",0,1,0,0.397696,295000,261615.640917009,-0.113167318925394
"69",13483,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"KT1","E",87,4,5,2.1,325,136,"Average","owner-occupied",51.407124,-0.298191,79,12,6,"kingston","Thames Water",63900,"Kingston upon Thames","rail",0,1,0,0.5828732,602000,483426.135406108,-0.196966552481547
"70",10271,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW2","D",108,4,3.9,2.5,208,135,"Poor","owner-occupied",51.549311,-0.20755,138,59,2,"kilburn","Thames Water",50600,"Camden","tube",1,0,0,0.1683994,737000,803611.742152641,0.0903822824323493
"71",2285,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW15","C",124,5,3.3,1.6,153,73,"Very Poor","owner-occupied",51.448886,-0.229633,88,56,3,"southfields","Thames Water",52500,"Kingston upon Thames","tube",1,0,0,1.5211872,531000,687373.530717458,0.294488758413291
"72",11195,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E17","D",46,2,2.6,1.1,321,135,"Very Poor","rental (private)",51.583368,-0.039599,184,10,3,"blackhorse road","Thames Water",50700,"Waltham Forest","tube",1,0,1,0.3088358,252000,232372.930037568,-0.0778851982636193
"73",3019,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N1","E",62,3,4.1,2.6,378,237,"Average","rental (private)",51.532344,-0.10859,43,39,1,"angel","Thames Water",50900,"Islington","tube",1,0,0,0.360412,519000,644051.321965448,0.240946670453657
"74",12103,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N15","D",96,6,3.6,1.3,212,74,"Average","owner-occupied",51.583241,-0.092996,158,18,3,"harringay green lanes","Thames Water",44200,"Haringey","light_rail",0,0,1,0.6481202,453000,470927.207491879,0.039574409474347
"75",13554,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E13","D",71,3,2.9,0.8,232,61,"Average","owner-occupied",51.526648,0.034571,141,7,3,"upton park","Thames Water",45200,"Newham","tube",2,0,0,0.8755526,283000,371801.280399627,0.313785443108222
"76",8041,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"IG2","D",106,5,4.4,2.7,218,130,"Average","owner-occupied",51.57837,0.095578,104,24,4,"newbury park","Essex & Suffolk Water",51300,"Redbridge","tube",1,0,0,0.3952104,366000,492770.244723384,0.346366788861705
"77",15758,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR8","B",71.2,3,1.4,1.3,122,108,"Average","owner-occupied",51.340825,-0.114001,82,66,6,"purley","SES Water",58600,"Croydon","rail",0,1,0,0.2398604,270000,346696.35618919,0.284060578478481
"78",8021,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"KT6","D",41,2,3.9,2.7,561,393,"Average","rental (private)",51.391027,-0.297552,33,39,6,"surbiton","Thames Water",57900,"Kingston upon Thames","rail",0,1,0,0.4747496,241000,211049.779024419,-0.124274775832286
"79",3793,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N12","D",60,3,2.5,1.5,239,139,"Average","owner-occupied",51.614515,-0.184761,24,80,4,"woodside park","Affinity Water",51100,"Barnet","tube",1,0,0,0.3889964,281000,310552.721726581,0.105169828208473
"80",3742,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E3","C",63,3,1.8,2,174,186,"Average","rental (private)",51.525181,-0.008771,146,6,2,"bromley-by-bow","Thames Water",48300,"Tower Hamlets","tube",2,0,0,0.21749,311000,375135.653490975,0.206223966208924
"81",11281,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW6","F",105,4,7.7,2.7,417,146,"Poor","owner-occupied",51.470963,-0.191401,35,7,2,"imperial wharf","Thames Water",58900,"Hammersmith and Fulham","light_rail",0,1,1,0.7761286,633000,917048.436681566,0.448733707237861
"82",12492,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SM5","C",58,3,2.2,0.8,212,76,"Good","owner-occupied",51.387511,-0.171051,103,39,4,"mitcham junction","SES Water",44300,"Sutton","light_rail",0,1,1,1.0955282,266000,318256.532264273,0.196453128813055
"83",8274,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW10","C",48.18,3,2.4,1.6,298,203,"Average","owner-occupied",51.546815,-0.237516,59,50,3,"dollis hill","Thames Water",43400,"Brent","tube",1,0,0,0.565474,302000,303145.732626275,0.0037938166432935
"84",8593,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N15","D",82,5,3.2,1,221,70,"Average","owner-occupied",51.580317,-0.067096,106,16,3,"south tottenham","Thames Water",45800,"Haringey","light_rail",0,0,1,0.3778112,718000,444590.175632878,-0.38079362725226
"85",12412,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"CR2","E",103.26,5,6.2,3.9,361,225,"Average","owner-occupied",51.347541,-0.060522,67,155,3,"coombe lane","SES Water",62800,"Croydon","light_rail",0,0,1,1.5988622,228000,755555.361874105,2.31383930646537
"86",2762,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW18","D",69,5,2.7,0.9,223,67,"Poor","rental (private)",51.442169,-0.193704,65,11,3,"earlsfield","Thames Water",76700,"Wandsworth","rail",0,1,0,0.4026672,647000,596367.584162346,-0.0782572114956007
"87",9005,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W11","C",192,6,4,2.9,119,84,"Average","owner-occupied",51.516367,-0.200787,31,22,2,"westbourne park","Thames Water",47100,"Kensington and Chelsea","tube",2,0,0,0.5238402,2361000,1241246.40363699,-0.474270900619657
"88",3688,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW1P","D",194,5,6.6,2.8,193,83,"Very Poor","owner-occupied",51.496062,-0.140835,97,17,1,"victoria","Thames Water",57500,"Westminster","tube",3,1,0,0.201955,1861000,2957200.87739272,0.589038622994477
"89",6990,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE20","E",44,2,4.6,2.5,599,324,"Average","owner-occupied",51.411126,-0.05382,50,47,3,"avenue road","Thames Water",55700,"Bromley","light_rail",0,0,1,0.304486,140000,296368.027955651,1.11691448539751
"90",3081,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"RM6","D",53,4,3.4,2.4,378,272,"Very Poor","owner-occupied",51.574825,0.118189,86,18,4,"goodmayes","Essex & Suffolk Water",46600,"Redbridge","rail",0,1,0,0.9140794,179000,309409.034224953,0.728542090642193
"91",1133,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N15","D",145,7,4.9,2.7,190,105,"Average","owner-occupied",51.585579,-0.098387,71,20,3,"turnpike lane","Thames Water",48900,"Haringey","tube",1,0,0,0.4977414,660000,765905.765156144,0.160463280539612
"92",5998,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"DA5","D",79.17,4,4.6,2.9,348,216,"Average","owner-occupied",51.449958,0.126739,66,30,5,"albany park","Thames Water",54000,"Bexley","rail",0,1,0,1.2428,381000,394853.413701912,0.0363606658842828
"93",5237,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW18","D",57.12,3,2.6,2.2,236,197,"Good","owner-occupied",51.443387,-0.195099,45,10,3,"earlsfield","Thames Water",76700,"Wandsworth","rail",0,1,0,0.478478,410000,519099.05996772,0.26609526821395
